Name,Sex,Origin
Nayzeth,F,Uknown
Quaniya,F,Uknown
Rosaura,F,Latin
Samaiya,F,Uknown
Shanyah,F,Uknown
Tamyah,F,Uknown
Trenyce,F,Uknown
Yosselin,F,Uknown
Seleste,F,Latin
Tylah,F,Uknown
Anecia,F,Uknown
Anisah,F,Arabic
Cinthya,F,Greek
Makyia,F,Uknown
Michiah,F,Uknown
Oluwatamilore,F,Uknown
Omaria,F,Uknown
Shaye,F,Gaelic
Tatiyanna,F,Uknown
Tylia,F,Uknown
Xitlali,F,Uknown
Teairra,F,Uknown
Analiese,F,Latin
Annakate,F,Uknown
Semira,F,Hebrew
Takhia,F,Uknown
Ashira,F,Hebrew
Betsabe,F,Uknown
Erionna,F,Uknown
Jakaria,F,Uknown
Jaquitta,F,Uknown
Mansi,F,Uknown
Nayelli,F,Uknown
Nely,F,Uknown
Rut,F,Uknown
Samanta,F,Uknown
Zykiria,F,Uknown
Shariah,F,Uknown
Amberleigh,F,Arabic
Kanya,F,Uknown
Lamaya,F,Uknown
Sury,F,Uknown
Tariah,F,Uknown
Zahira,F,Arabic
Alyah,F,Uknown
Britten,F,Latin
Chania,F,Hebrew
Llana,F,Uknown
Mea,F,Scandinavian
Mychaela,F,Hebrew
Samoria,F,Uknown
Shanyla,F,Uknown
Syriana,F,Uknown
Yelitza,F,Uknown
Jeniah,F,Uknown
Kemiya,F,Uknown
Sakari,F,Uknown
Eniyah,F,Uknown
Keyri,F,Uknown
Betsaida,F,Uknown
Jaleya,F,Uknown
Jniya,F,Uknown
Keelin,F,Irish
Kelise,F,Celtic
Lejla,F,Uknown
Mikiya,F,Uknown
Rosy,F,Latin
Sameria,F,Uknown
Vianney,F,Uknown
Zykierra,F,Uknown
Deajah,F,Uknown
Iyannah,F,Uknown
Jamayah,F,Uknown
Kameria,F,Uknown
Makyah,F,Uknown
Amarachi,F,Uknown
Angelin,F,Uknown
Asucena,F,Arabic
Dayanira,F,Spanish
Deniyah,F,Uknown
Desiray,F,Uknown
Hanan,F,Hebrew
Jakerria,F,Uknown
Jazlene,F,Uknown
Kalissa,F,American
Kamariah,F,Uknown
Keilly,F,Uknown
Larsen,F,Scandinavian
Masiya,F,Uknown
Ndeye,F,Uknown
October,F,Latin
Rhyanna,F,Uknown
Torianna,F,Uknown
Ziah,F,Uknown
Zowie,F,Uknown
Zyah,F,Uknown
Auriana,F,Latin
Alayja,F,Uknown
Elida,F,Mexican
Victory,F,Latin
Abree,F,Hebrew
Adithi,F,Uknown
Calissa,F,Latin
Chrislyn,F,Uknown
Jadasia,F,Uknown
Janaria,F,Uknown
Kemaya,F,Uknown
Shaylah,F,Irish
Syriah,F,Uknown
Yocelyn,F,Uknown
Zoei,F,Uknown
Rayanna,F,British
Ahmani,F,Uknown
Aniyla,F,Uknown
Ramiya,F,Uknown
Shaylyn,F,Gaelic
Aleigh,F,Uknown
Evyn,F,Welsh
Joyanna,F,Latin
Kensie,F,Uknown
Raphaella,F,Hebrew
Veronika,F,Latin
Shariyah,F,Uknown
Alaila,F,Uknown
Courtlynn,F,Uknown
Cristel,F,Latin
Davionna,F,Uknown
Jasiya,F,Uknown
Bayla,F,British
Aleya,F,Uknown
Derrianna,F,Uknown
Fia,F,Portuguese
Iniya,F,Uknown
Jaymee,F,Spanish
Josselin,F,Uknown
Khyli,F,Uknown
Lazaria,F,Uknown
Maryella,F,Uknown
Mattilyn,F,Uknown
Shanik,F,Uknown
Swayze,F,Uknown
Janney,F,Uknown
Alayjah,F,Uknown
Caelynn,F,Uknown
Lilee,F,Uknown
Mahari,F,Uknown
Orianna,F,Latin
Skyleigh,F,Uknown
Aalia,F,Australian
Aissatou,F,Uknown
Aubre,F,German
Janayla,F,Uknown
Makenlee,F,Uknown
Ranya,F,Uknown
Saya,F,Uknown
Ayelen,F,Uknown
Anamaria,F,Hebrew
Brenlee,F,American
Chyann,F,Uknown
Karmin,F,Hebrew
Kinzie,F,Scottish
Lyrical,F,Uknown
Oluwadarasimi,F,Uknown
Rion,F,Gaelic
Solyana,F,Uknown
Tahari,F,Uknown
Tamryn,F,Hebrew
Telia,F,Uknown
Jaide,F,British
Kenzington,F,Uknown
Alyric,F,Uknown
Armonii,F,Uknown
Cynne,F,Uknown
Dhriti,F,Uknown
Ezri,F,Hebrew
